target,model,permutation_index,mae_skill_vs_mean_baseline
contact_angle_deg,Random Forest,140,-0.3365871726190477
contact_angle_deg,Random Forest,141,-0.09620441964285575
contact_angle_deg,Random Forest,142,-0.09500337797614478
contact_angle_deg,Random Forest,143,-0.3301155505951918
contact_angle_deg,Random Forest,144,0.1673193303571594
contact_angle_deg,Random Forest,145,-0.34090544642853615
contact_angle_deg,Random Forest,146,0.1480227232143143
contact_angle_deg,Random Forest,147,0.0534771279762154
contact_angle_deg,Random Forest,148,0.06316642857145283
contact_angle_deg,Random Forest,149,0.3070683035714765
contact_angle_deg,Random Forest,150,0.4938186904762176
contact_angle_deg,Random Forest,151,-0.49803845238093203
contact_angle_deg,Random Forest,152,-0.30894895833330693
contact_angle_deg,Random Forest,153,0.04510068452383109
contact_angle_deg,Random Forest,154,-0.32448727678569256
contact_angle_deg,Random Forest,155,-0.41374147321424104
contact_angle_deg,Random Forest,156,-0.3362232589285483
contact_angle_deg,Random Forest,157,-0.13527705357140007
contact_angle_deg,Random Forest,158,-0.5545158779761366
contact_angle_deg,Random Forest,159,0.32878510416664497
contact_angle_deg,Random Forest,160,-0.4767144345237533
contact_angle_deg,Random Forest,161,0.42714985119052784
contact_angle_deg,Random Forest,162,-0.11209946428570206
contact_angle_deg,Random Forest,163,0.03183700892859065
contact_angle_deg,Random Forest,164,0.03620498511899939
contact_angle_deg,Random Forest,165,0.4492373363094835
contact_angle_deg,Random Forest,166,-0.025084122023791622
contact_angle_deg,Random Forest,167,-0.5471942857142444
contact_angle_deg,Random Forest,168,0.4168180803571957
contact_angle_deg,Random Forest,169,0.5322228125000343
contact_angle_deg,Random Forest,170,0.8097200744047761
contact_angle_deg,Random Forest,171,0.9942594642856903
contact_angle_deg,Random Forest,172,-0.050972053571396
contact_angle_deg,Random Forest,173,-0.04628813988096425
contact_angle_deg,Random Forest,174,0.6288324702381267
contact_angle_deg,Random Forest,175,-0.4272050595237964
contact_angle_deg,Random Forest,176,0.24214516369045214
contact_angle_deg,Random Forest,177,-0.016920982142856644
contact_angle_deg,Random Forest,178,-0.57261924107139
contact_angle_deg,Random Forest,179,-0.6171745089285885
contact_angle_deg,Random Forest,180,-0.5130547916666437
contact_angle_deg,Random Forest,181,-0.5900734970237416
contact_angle_deg,Random Forest,182,-0.19959552083327736
contact_angle_deg,Random Forest,183,-0.27647238095237014
contact_angle_deg,Random Forest,184,-0.24222032738091315
contact_angle_deg,Random Forest,185,-0.5967059374999728
contact_angle_deg,Random Forest,186,-0.3077725744047939
contact_angle_deg,Random Forest,187,-0.5030372321428196
contact_angle_deg,Random Forest,188,-0.008731026785675056
contact_angle_deg,Random Forest,189,-0.2511115773809003
contact_angle_deg,Random Forest,190,0.10043306547619224
contact_angle_deg,Random Forest,191,0.37420238095236513
contact_angle_deg,Random Forest,192,0.4463967261904891
contact_angle_deg,Random Forest,193,0.05494955357147191
contact_angle_deg,Random Forest,194,-0.32202583333330637
contact_angle_deg,Random Forest,195,-0.28591157738095774
contact_angle_deg,Random Forest,196,-0.1134204166666386
contact_angle_deg,Random Forest,197,0.12177910714284579
