relative_path,sha256,contact_angle_deg,contact_angle_sd_deg,n_contact_angle,contact_angle_value_source,hysteresis_deg,rolloff_angle_deg,pinning_fraction,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key,duplicate_sha256
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Abrasion test cycle_2_wetting data.xlsx,20c26fa4ff540c0c42ee945a9ab82ead76540166f1369ecbe505d49d3b4f4b06,149.70499999999998,2.028933181649708,10,reported_CA_Stabw,,12.0,1.0,Figure 5,PDMS,unsintered,unknown,spray,abrasion,2.0,,top,coating,unsintered|PDMS|unknown|spray|abrasion|2|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Abrasion test cycle_3_wetting data.xlsx,b21ffe7f6d4202d435e0b2dd816c79af63bbda17110ed96acd384e28e0bd3000,143.78000000000003,4.190195332248179,10,reported_CA_Stabw,,17.0,1.0,Figure 5,PDMS,unsintered,unknown,spray,abrasion,3.0,,top,coating,unsintered|PDMS|unknown|spray|abrasion|3|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Abrasion test cycle_4_wetting data.xlsx,3db59cc2b2b606c6e5b71a0ef7857e65e9c75d69f2f7102a0f04410210873a80,145.04,1.6012964289615659,10,reported_CA_Stabw,,,1.0,Figure 5,PDMS,unsintered,unknown,spray,abrasion,4.0,,top,coating,unsintered|PDMS|unknown|spray|abrasion|4|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Abrasion test cycle_5_wetting data.xlsx,7d6488af90dcf8c748f9ad9c6b1d28f549d93b80e6a4df87f397e2520399aca8,143.73000000000002,1.3070062487379461,10,reported_CA_Stabw,,,1.0,Figure 5,PDMS,unsintered,unknown,spray,abrasion,5.0,,top,coating,unsintered|PDMS|unknown|spray|abrasion|5|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Tape test cycle_0_wetting data.xlsx,21c4ad8b14437a558ebbe876e0f8e8187d09a6904ee0b60bc20801cbbb9bba7c,153.26999999999998,1.7866169147301816,5,reported_CA_Stabw,2.3748115126809637,5.0,0.0,Figure 5,PDMS,unsintered,unknown,spray,tape,0.0,,top,coating,unsintered|PDMS|unknown|spray|tape|0|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Tape test cycle_1_wetting data.xlsx,bc6d21a04b2242a7d90de3890470c7069d00b0be151db0661c59149e00e23f56,148.54,2.57376791504588,5,reported_CA_Stabw,,11.0,0.7,Figure 5,PDMS,unsintered,unknown,spray,tape,1.0,,top,coating,unsintered|PDMS|unknown|spray|tape|1|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Tape test cycle_2_wetting data.xlsx,ca8068dbd2907053d5cd63afbb4d65417f3a9c1bf9b40d6602adeb16ce7bf2bd,143.26999999999998,4.54129457066924,5,reported_CA_Stabw,,,1.0,Figure 5,PDMS,unsintered,unknown,spray,tape,2.0,,top,coating,unsintered|PDMS|unknown|spray|tape|2|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Tape test cycle_3_wetting data.xlsx,ddfe82f14f05bd224f21319ca5485740e2cf6c20b3fc3805038000cdca5eae81,141.64,1.7372712297266588,5,reported_CA_Stabw,,,1.0,Figure 5,PDMS,unsintered,unknown,spray,tape,3.0,,top,coating,unsintered|PDMS|unknown|spray|tape|3|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Tape test cycle_4_wetting data.xlsx,e8d44fe094cd2482882af9b59c7e302092fcd0a4ac448b6578447ce20e4047ca,141.46,0.6190302306637745,5,reported_CA_Stabw,,,1.0,Figure 5,PDMS,unsintered,unknown,spray,tape,4.0,,top,coating,unsintered|PDMS|unknown|spray|tape|4|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Tape test cycle_5_wetting data.xlsx,2b7bced9c0f5f5f737cd177564c56df6fc37fffa9274619b9c34f7a4c54adb84,141.96000000000004,0.8397313625077556,5,reported_CA_Stabw,,,1.0,Figure 5,PDMS,unsintered,unknown,spray,tape,5.0,,top,coating,unsintered|PDMS|unknown|spray|tape|5|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_0_wetting data.xlsx,6b5bbe54ff5b92e8c712b22d8612a6203a79ad9b23720f5adee8af50afc914ae,152.685,1.444891978911577,10,reported_CA_Stabw,1.2838796662550123,5.0,0.0,Figure 6,PUR,500C,unknown,spray,abrasion,0.0,,top,coating,500C|PUR|unknown|spray|abrasion|0|sprayna,False
Figure 6/500C SP coatings_abrasion and tape tesing_wetting data/500C SP_Abrasion test cycle_1_wetting data.xlsx,72486c7ac722988fec64ed5786c58997c3fe0c11372f0d6291099ea0de6c5b9d,150.935,1.6241290625989513,10,reported_CA_Stabw,3.7796002559469457,5.0,0.0,Figure 6,PUR,500C,unknown,spray,abrasion,1.0,,top,coating,500C|PUR|unknown|spray|abrasion|1|sprayna,False
